11,Mais
12,Sorgho/Mil
13,Riz
14,Igname
15,Manioc
16,Coton
17,Arachide
18,Niebe
19,Soja
91,Voandzou
20,Autre Culture
21,Anacardier
22,Manguier
23,Teck
25,Agroforesterie
29,Autre Verger
31,Jachere Herbacee
32,Jachere Arbustive
33,Jachere Arboree
41,Savane Herbacee
42,Savane Arbustive
43,Savane Arboree
44,Foret et Ripisylve
45,Sol Nu
46,Brulis
51,Surface Artificialisee
61,Eau
99,Autre Classe
