species,n_presence,n_background,n_samples,tp,tn,fp,fn,sensitivity,specificity,tss,prevalence,auc_roc,accuracy,precision,recall,f1_score
Anacardium_occidentale,242,50000,50242,192,49681,319,50,0.7933884297520661,0.99362,0.7870084297520661,0.0048166872337884635,0.9855652066115703,0.9926555471517854,0.37573385518590996,0.7933884297520661,0.5099601593625498
Tectona_grandis,1152,50000,51152,916,49639,361,236,0.7951388888888888,0.99278,0.7879188888888888,0.022521113543947452,0.9857291753472223,0.9883289020957148,0.7173061863743148,0.7951388888888888,0.7542198435570193
Parkia_biglobosa,119,50000,50119,87,48947,1053,32,0.7310924369747899,0.97894,0.7100324369747899,0.0023743490492627545,0.9749201680672268,0.978351523374369,0.07631578947368421,0.7310924369747899,0.13820492454328834
Mangifera_indica,161,50000,50161,138,49836,164,23,0.8571428571428571,0.99672,0.853862857142857,0.0032096648790893322,0.9947891925465838,0.9962720041466478,0.45695364238410596,0.8571428571428571,0.5961123110151187
Piliostigma_thonningii,151,50000,50151,117,49263,737,34,0.7748344370860927,0.98526,0.7600944370860927,0.0030109070606767563,0.9775135099337748,0.9846264281868756,0.13700234192037472,0.7748344370860927,0.23283582089552238
