species,n_presence,n_background,n_samples,tp,tn,fp,fn,sensitivity,specificity,tss,prevalence,auc_roc,accuracy,precision,recall,f1_score
Anacardium_occidentale,242,50,292,242,33,17,0,1.0,0.66,0.6600000000000001,0.8287671232876712,1.0,0.9417808219178082,0.9343629343629344,1.0,0.9660678642714571
Tectona_grandis,1152,50,1202,1152,33,17,0,1.0,0.66,0.6600000000000001,0.9584026622296173,1.0,0.9858569051580699,0.9854576561163387,1.0,0.992675570874623
Parkia_biglobosa,119,50,169,119,32,18,0,1.0,0.64,0.6400000000000001,0.7041420118343196,1.0,0.893491124260355,0.8686131386861314,1.0,0.9296875
Mangifera_indica,161,50,211,161,41,9,0,1.0,0.82,0.8199999999999998,0.7630331753554502,1.0,0.957345971563981,0.9470588235294117,1.0,0.972809667673716
Piliostigma_thonningii,151,50,201,151,40,10,0,1.0,0.8,0.8,0.7512437810945274,1.0,0.9502487562189055,0.937888198757764,1.0,0.967948717948718
